model,panel,k,auc_mean,auc_sd,auc_pooled,auc_q025,auc_q975
l2,covariates_only,2,0.45509259259259266,0.06431764984436496,0.37962962962962965,,
l2,apriori_AD8,8,0.47978395061728396,0.06234644297295044,0.43209876543209874,,
rf,apriori_AD8,8,0.4851851851851852,0.04636230944500867,0.45987654320987653,,
l2,biohermes7,7,0.587962962962963,0.05447564227064221,0.5972222222222222,,
rf,biohermes7,7,0.5484567901234567,0.036382840513581496,0.5493827160493827,,
l2,core_available3,3,0.38996913580246917,0.04928388217300553,0.3549382716049383,,
rf,core_available3,3,0.3702160493827161,0.06163471611594662,0.3441358024691358,,
l2,topk,1,0.517361111111111,0.07869633767718832,0.5370370370370371,0.4041666666666667,0.6635802469135802
l2,topk,2,0.566820987654321,0.07271657201200867,0.5771604938271605,0.4623456790123457,0.6859567901234568
l2,topk,3,0.5760802469135804,0.07076677646455595,0.6080246913580247,0.4685185185185185,0.7087191358024691
l2,topk,5,0.6183641975308642,0.04955779352963475,0.6388888888888888,0.5247685185185186,0.6965277777777777
l2,topk,10,0.6424382716049383,0.05135630456146233,0.6558641975308642,0.576388888888889,0.7487654320987653
l2,topk,20,0.6498456790123457,0.05093675431769744,0.6574074074074074,0.5705246913580247,0.7444444444444445
l2,topk,50,0.6245370370370369,0.03503746506466832,0.6296296296296297,0.5771604938271605,0.6945987654320988
l2,topk,100,0.6146604938271605,0.04598961667952752,0.6265432098765432,0.5114197530864197,0.6760802469135803
l2,topk,300,0.6214506172839506,0.04593507554166172,0.6512345679012346,0.5385802469135803,0.6960648148148147
l2,topk,1305,0.6381172839506173,0.042459310161103714,0.654320987654321,0.5640432098765432,0.7088734567901234
enet,topk,1,0.5179783950617284,0.07843213828311149,0.5401234567901234,0.4070987654320988,0.6621141975308642
enet,topk,2,0.5655864197530864,0.07228505483381435,0.5771604938271605,0.4607253086419753,0.6840277777777778
enet,topk,3,0.5739197530864197,0.071149735862077,0.6064814814814815,0.4682098765432099,0.707253086419753
enet,topk,5,0.6154320987654321,0.0499219262258878,0.6327160493827161,0.5187499999999999,0.6953703703703703
enet,topk,10,0.638888888888889,0.05794964247845627,0.6666666666666666,0.5580246913580247,0.7536265432098764
enet,topk,20,0.6412037037037036,0.055418890093708206,0.6635802469135802,0.5662808641975309,0.7486882716049382
enet,topk,50,0.6044753086419753,0.03371016213376612,0.6234567901234568,0.5443672839506173,0.6726080246913579
enet,topk,100,0.5910493827160493,0.04166817074271325,0.6172839506172839,0.5227623456790124,0.6469907407407407
enet,topk,300,0.5646604938271604,0.04518899977507172,0.5895061728395061,0.4952932098765432,0.6375771604938272
enet,topk,1305,0.5763888888888888,0.040240432772876006,0.5802469135802469,0.5070216049382715,0.6315586419753086
rf,topk,1,0.5338734567901234,0.05829570787554352,0.5740740740740741,0.435108024691358,0.6395447530864197
rf,topk,2,0.5868827160493828,0.06250345934160872,0.6172839506172839,0.4846836419753086,0.6763117283950617
rf,topk,3,0.5958333333333334,0.08299557934111174,0.6265432098765432,0.44837962962962963,0.7573302469135801
rf,topk,5,0.6172839506172839,0.05487453501771859,0.6388888888888888,0.5337962962962963,0.7118055555555556
rf,topk,10,0.635493827160494,0.05573485613856925,0.6604938271604939,0.5550925925925926,0.7468364197530863
rf,topk,20,0.6462962962962963,0.04831945002289872,0.6512345679012346,0.5830246913580247,0.7402006172839506
rf,topk,50,0.6361111111111111,0.036172772976495994,0.6358024691358025,0.5799382716049383,0.6997685185185185
rf,topk,100,0.6387345679012346,0.04405416460421153,0.6574074074074074,0.5608024691358025,0.7069444444444445
rf,topk,300,0.6467592592592593,0.04556466510785562,0.654320987654321,0.5679012345679012,0.7147376543209877
rf,topk,1305,0.645216049382716,0.047271248232313004,0.6512345679012346,0.55625,0.7246141975308641
