model,panel,k,auc_mean,auc_sd,auc_pooled,auc_q025,auc_q975
l2,covariates_only,3,0.6965873015873014,0.03157126077256924,0.6587301587301587,,
l2,apriori_AD8,8,0.5909523809523809,0.04353436283410006,0.6063492063492063,,
rf,apriori_AD8,8,0.545952380952381,0.047355088524582825,0.5468253968253968,,
l2,biohermes7,7,0.6188888888888888,0.04341174003423181,0.6349206349206349,,
rf,biohermes7,7,0.6658730158730157,0.033905265657289144,0.6714285714285714,,
l2,core_available3,3,0.4330158730158731,0.0666400073998645,0.423015873015873,,
rf,core_available3,3,0.4805555555555555,0.04271884303751051,0.4793650793650794,,
l2,topk,1,0.49103174603174604,0.04432276875853557,0.4650793650793651,0.4174603174603175,0.5469444444444445
l2,topk,2,0.5199206349206349,0.04989140984297993,0.5206349206349207,0.4382142857142857,0.5898809523809524
l2,topk,3,0.5365873015873015,0.045132738709058456,0.5253968253968254,0.4726190476190476,0.6151984126984127
l2,topk,5,0.5757142857142856,0.054647307843101296,0.5936507936507937,0.48563492063492064,0.6731746031746032
l2,topk,10,0.6264285714285713,0.04874817003640104,0.6492063492063492,0.5486507936507936,0.7040079365079366
l2,topk,20,0.6482539682539681,0.044149276447216515,0.6666666666666666,0.591984126984127,0.7286111111111111
l2,topk,50,0.6599206349206349,0.050531579032379766,0.6904761904761905,0.5818253968253968,0.7717063492063492
l2,topk,100,0.662142857142857,0.04473077298930231,0.6865079365079365,0.5870238095238095,0.7287301587301587
l2,topk,300,0.6746031746031746,0.03507220088862484,0.6888888888888889,0.6157142857142858,0.7357936507936508
l2,topk,1305,0.7250793650793652,0.028869695350830876,0.7396825396825397,0.6808730158730159,0.7739285714285714
enet,topk,1,0.49103174603174604,0.044478072371764765,0.4650793650793651,0.4166269841269841,0.5469444444444445
enet,topk,2,0.5199999999999999,0.04865320922752449,0.5174603174603175,0.4398015873015873,0.5891269841269842
enet,topk,3,0.5357142857142857,0.04339829759667339,0.526984126984127,0.47253968253968254,0.6082539682539683
enet,topk,5,0.5753174603174602,0.054796037453914814,0.5904761904761905,0.4880555555555555,0.6747619047619048
enet,topk,10,0.6201587301587301,0.04707317308621683,0.638095238095238,0.5466269841269841,0.699484126984127
enet,topk,20,0.6337301587301586,0.04501034581284487,0.6587301587301587,0.5600793650793651,0.7105555555555555
enet,topk,50,0.6433333333333333,0.049005437788690896,0.6730158730158731,0.5646428571428571,0.7549999999999999
enet,topk,100,0.6383333333333332,0.0508126400385652,0.6619047619047619,0.5514285714285714,0.7111904761904763
enet,topk,300,0.6647619047619047,0.04505076339757313,0.680952380952381,0.5952380952380952,0.7401190476190476
enet,topk,1305,0.7034920634920635,0.03137460240536921,0.7285714285714285,0.6585714285714286,0.7536111111111111
rf,topk,1,0.534920634920635,0.06376403737093844,0.5928571428571429,0.4343650793650794,0.6212301587301586
rf,topk,2,0.5404365079365079,0.05560534527448574,0.5515873015873016,0.44833333333333336,0.6219246031746032
rf,topk,3,0.5590079365079365,0.048714274281335755,0.5507936507936508,0.48253968253968255,0.6453174603174603
rf,topk,5,0.58515873015873,0.05626890155965936,0.5904761904761905,0.49134920634920637,0.6743650793650793
rf,topk,10,0.6407539682539681,0.045682043158250106,0.6634920634920635,0.571031746031746,0.7195436507936508
rf,topk,20,0.6742063492063491,0.04004968006614326,0.6952380952380952,0.6157936507936508,0.7530952380952382
rf,topk,50,0.679126984126984,0.041654511494316634,0.6904761904761905,0.62,0.747579365079365
rf,topk,100,0.6785714285714285,0.0374111865060085,0.6888888888888889,0.6225,0.731984126984127
rf,topk,300,0.678015873015873,0.03324878883306004,0.6857142857142857,0.6130555555555556,0.7238888888888889
rf,topk,1305,0.6837698412698413,0.044130406068673016,0.6873015873015873,0.5991269841269842,0.7538492063492064
