k,labels,per_fold_mean,per_fold_sd,pooled_mean,pooled_sd,gap
1,observed,0.545375,0.07758819546423815,0.5304012345679012,0.06495432591268568,0.014973765432098829
5,observed,0.6201666666666666,0.07460382894005511,0.6150617283950617,0.06510672247766437,0.005104938271604964
10,observed,0.6609166666666667,0.05799152774543393,0.6527160493827161,0.057320037980924846,0.008200617283950606
20,observed,0.6677500000000001,0.06257540802377881,0.6612962962962964,0.05301580407669293,0.006453703703703684
100,observed,0.6261666666666666,0.06183054158759952,0.6180246913580247,0.04468542073539062,0.008141975308641913
1305,observed,0.6473333333333332,0.05150622444387264,0.6401851851851852,0.039663379658212344,0.007148148148148015
1,permuted_null_true_auc_0.5,0.5084375,0.12579966771610468,0.4987345679012346,0.11666016851556633,0.009702932098765382
5,permuted_null_true_auc_0.5,0.4967083333333333,0.13092067299344615,0.4949279835390947,0.11988553945950847,0.0017803497942386337
10,permuted_null_true_auc_0.5,0.4905694444444444,0.12744501110043963,0.4875925925925926,0.11625861403761706,0.002976851851851814
20,permuted_null_true_auc_0.5,0.5134722222222223,0.12950307422745397,0.512582304526749,0.12170204559535698,0.0008899176954733079
100,permuted_null_true_auc_0.5,0.5138055555555555,0.13494543182861313,0.5059567901234568,0.1263961588398977,0.00784876543209867
1305,permuted_null_true_auc_0.5,0.5074444444444444,0.1300312137964475,0.4997222222222223,0.12148999140241407,0.007722222222222075
