panel,auc,ci_lo,ci_hi,delong_z_vs_full,delong_p_vs_full,ratio_raw,ratio_excess,ratio_anchored,ratio_excess_lo,ratio_excess_hi,sens_youden,spec_youden,ppv_at_20pct,npv_at_20pct
topk_enet_10,0.6666666666666666,0.4691358024691358,0.8364197530864198,0.2101329202096705,0.8335639324189186,1.0188679245283019,1.0799999999999996,1.044943820224719,0.19573170731707312,3.6339285714285747,0.8333333333333334,0.5555555555555556,0.3191489361702128,0.9302325581395349
topk_enet_20,0.6635802469135802,0.4722222222222222,0.8334876543209868,0.16748971693966047,0.8669847379379001,1.0141509433962264,1.0599999999999996,1.033707865168539,0.20056818181818306,3.6506410256410247,0.7777777777777778,0.6111111111111112,0.3333333333333333,0.9166666666666667
topk_rf_10,0.6604938271604939,0.4644675925925926,0.8317901234567902,0.11248785238141522,0.9104366010063465,1.009433962264151,1.0400000000000003,1.0224719101123596,0.12500000000000056,3.692857142857139,0.8333333333333334,0.5555555555555556,0.3191489361702128,0.9302325581395349
topk_l2_20,0.6574074074074074,0.4691358024691358,0.8333333333333334,0.05707848315073586,0.9544826764328277,1.0047169811320755,1.02,1.0112359550561798,0.11237373737373721,3.32291666666666,0.7777777777777778,0.6111111111111112,0.3333333333333333,0.9166666666666667
topk_rf_100,0.6574074074074074,0.46296296296296297,0.8364197530864198,0.06908400439400328,0.944922753250927,1.0047169811320755,1.02,1.0112359550561798,0.23076923076923034,2.941176470588235,0.8888888888888888,0.5,0.30769230769230765,0.9473684210526315
topk_l2_10,0.6558641975308642,0.4567901234567901,0.8271990740740739,0.026411720704304215,0.9789289456417466,1.0023584905660377,1.01,1.00561797752809,0.0023148148148148242,3.0,0.8333333333333334,0.6111111111111112,0.3488372093023256,0.9361702127659575
topk_l2_1305,0.654320987654321,0.45987654320987653,0.8302469135802469,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.42857142857142866,0.8695652173913044
topk_rf_300,0.654320987654321,0.45979938271604937,0.8334104938271601,0.0,1.0,1.0,1.0,1.0,0.10440613026819974,2.7628676470588216,0.8888888888888888,0.5,0.30769230769230765,0.9473684210526315
topk_rf_20,0.6512345679012346,0.45987654320987653,0.8271604938271605,-0.05538487756217138,0.9558318433019072,0.9952830188679245,0.9799999999999999,0.9887640449438202,-0.08184523809523836,3.197321428571426,0.8333333333333334,0.5555555555555556,0.3191489361702128,0.9302325581395349
topk_rf_1305,0.6512345679012346,0.4628858024691358,0.8333333333333334,-0.06805991910482921,0.9457379362601557,0.9952830188679245,0.9799999999999999,0.9887640449438202,0.08970588235294154,2.553418803418802,0.7777777777777778,0.5555555555555556,0.30434782608695654,0.9090909090909091
