panel,auc,ci_lo,ci_hi,delong_z_vs_full,delong_p_vs_full,ratio_raw,ratio_excess,ratio_anchored,ratio_excess_lo,ratio_excess_hi,sens_youden,spec_youden,ppv_at_20pct,npv_at_20pct
topk_l2_1305,0.7396825396825397,0.5872619047619048,0.8730555555555554,,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7222222222222222,0.4186046511627908,0.935251798561151
topk_enet_1305,0.7285714285714285,0.580952380952381,0.8603174603174604,-0.5502717348622386,0.5821330079034985,0.9849785407725321,0.95364238410596,0.8627450980392148,0.7360479797979799,1.1725768872320599,0.8,0.6666666666666667,0.3750000000000001,0.9302325581395349
topk_rf_20,0.6952380952380952,0.5285714285714286,0.84765873015873,-0.8527563340970545,0.3937944435037837,0.9399141630901287,0.8145695364238408,0.45098039215686225,0.2292827868852457,1.298302456199178,0.8285714285714286,0.6111111111111112,0.3475366178428762,0.9344660194174758
topk_l2_50,0.6904761904761905,0.5222222222222223,0.8380952380952381,-1.069152487581474,0.2850009638699338,0.9334763948497854,0.7947019867549667,0.3921568627450978,0.2107042253521129,1.170468403547672,0.8,0.6111111111111112,0.339622641509434,0.9243697478991596
topk_rf_50,0.6904761904761905,0.517420634920635,0.8555555555555555,-1.0121858800949273,0.31144918611061767,0.9334763948497854,0.7947019867549667,0.3921568627450978,0.16450630252100865,1.2223290598290601,0.9142857142857143,0.5555555555555556,0.33962264150943394,0.9628610729023385
topk_rf_100,0.6888888888888889,0.5253571428571429,0.846031746031746,-1.0254390371772872,0.30515607659756694,0.9313304721030042,0.7880794701986753,0.372549019607843,0.19112323232323242,1.2484060402684558,0.9428571428571428,0.5,0.3203883495145631,0.9722222222222222
topk_l2_300,0.6888888888888889,0.5285714285714286,0.8365476190476189,-1.9331906986565703,0.05321271016170414,0.9313304721030042,0.7880794701986753,0.372549019607843,0.3038770053475939,0.9857663197729423,0.7714285714285715,0.6111111111111112,0.3315143246930423,0.9144893111638955
topk_rf_1305,0.6873015873015873,0.5238095238095238,0.8413095238095236,-1.0242138705289363,0.3057342687016379,0.9291845493562231,0.781456953642384,0.35294117647058815,0.19524456521739111,1.2852150537634408,0.8285714285714286,0.5555555555555556,0.31790499390986604,0.9283819628647215
topk_l2_100,0.6865079365079365,0.5349206349206349,0.827003968253968,-1.1824275522300574,0.23703609616404886,0.9281115879828326,0.7781456953642383,0.34313725490196073,0.2559737226277375,1.1538461538461533,0.7714285714285715,0.6111111111111112,0.3315143246930423,0.9144893111638955
topk_rf_300,0.6857142857142857,0.5253968253968254,0.8413095238095236,-1.086840639737774,0.2771072438416653,0.927038626609442,0.7748344370860927,0.3333333333333333,0.2127314814814815,1.2335714285714285,0.9142857142857143,0.5,0.3137254901960784,0.9589041095890412
topk_enet_300,0.680952380952381,0.526984126984127,0.8270238095238093,-1.5944860746506242,0.11082720725463643,0.9206008583690987,0.7549668874172185,0.2745098039215689,0.24958333333333335,1.035085942095288,0.8857142857142857,0.5,0.3069306930693069,0.9459459459459459
topk_enet_50,0.6730158730158731,0.5063095238095238,0.8238492063492061,-1.3460513618076588,0.17828595292552696,0.9098712446351932,0.7218543046357617,0.17647058823529477,0.04988095238095221,1.1103349673202614,0.9142857142857143,0.5,0.3137254901960784,0.9589041095890412
topk_l2_20,0.6666666666666666,0.4920238095238095,0.8285714285714286,-1.2790265296398955,0.2008877137662699,0.9012875536480686,0.6953642384105958,0.0980392156862741,-0.06163043478260873,1.1235001668335003,0.9428571428571428,0.4444444444444444,0.2978936810431294,0.9688581314878892
topk_rf_10,0.6634920634920635,0.49996031746031744,0.8238095238095238,-1.212251271802724,0.22541621042815052,0.8969957081545064,0.6821192052980131,0.05882352941176446,0.0,1.211769690927218,0.8857142857142857,0.4444444444444444,0.2849846782431052,0.9395973154362416
