source_id,kind,auc,panel_size,panel_dist_chars,pop_cognitively_unimpaired,pop_impaired_or_mixed,end_amyloid_status,end_clinical_diagnosis,end_cognitive_decline,plat_somascan,plat_olink,plat_nulisa,plat_simoa,plat_lumipulse,plat_elecsys,plat_msd,plat_mass_spec,population,endpoint,broad_platform,targeted_platform
10.1038/s41371-026-01134-9,abstract,0.798,36.0,99.0,False,False,False,False,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,unspecified,False,False
10.1002/alz.70505,abstract,0.94,36.0,24.0,True,True,False,True,False,True,False,False,False,False,False,False,False,mixed,clinical_diagnosis,True,False
10.1002/alz.70505,abstract,0.73,36.0,223.0,True,True,False,True,False,True,False,False,False,False,False,False,False,mixed,clinical_diagnosis,True,False
2026_discoverydriven_plasma_proteomics_identifies_a_multiprotein_signature_for.pdf,fulltext,0.53,31.0,1142.0,True,True,True,True,True,False,False,False,False,False,False,False,True,mixed,amyloid_status,True,False
10.21203/rs.3.rs-10437790/v1,abstract,0.86,257.0,94.0,False,True,False,True,True,False,False,False,False,False,False,False,False,impaired_or_unspecified,cognitive_decline,False,False
2026_continuum_of_core_1_biomarkers_in_preclinical_alzheimers.pdf,fulltext,0.9,1.0,220.0,True,True,True,True,True,False,False,False,False,False,True,False,False,mixed,amyloid_status,False,True
10.3390/ijms27125533,abstract,0.79,31.0,489.0,False,False,True,False,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,amyloid_status,False,False
10.1038/s41380-026-03708-y,abstract,0.86,3.0,138.0,False,True,True,True,True,False,False,True,False,False,False,False,False,impaired_or_unspecified,amyloid_status,True,False
10.1177/13872877251408510,abstract,0.9,3.0,66.0,False,True,False,True,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,clinical_diagnosis,False,False
10.21203/rs.3.rs-6440485/v1,abstract,0.95,8.0,583.0,True,True,True,True,False,False,False,True,False,False,False,False,False,mixed,amyloid_status,True,False
10.1001/jamaneurol.2026.2650,abstract,0.92,7.0,278.0,True,True,False,False,False,False,False,False,False,False,False,False,False,mixed,unspecified,False,False
10.1111/jnc.70306,abstract,0.74,11.0,477.0,False,True,False,False,True,False,True,False,False,False,False,False,False,impaired_or_unspecified,cognitive_decline,True,False
10.21203/rs.3.rs-4998867/v1,abstract,0.95,51.0,73.0,False,False,False,False,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,unspecified,False,False
10.1038/s41467-025-67656-x,abstract,0.91,51.0,176.0,False,False,False,False,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,unspecified,False,False
10.1016/j.xcrm.2025.102031,abstract,0.92,16.0,395.0,False,False,True,True,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,amyloid_status,False,False
10.3390/medicina62030605,abstract,0.9,407.0,345.0,False,False,False,True,False,False,False,False,False,False,False,False,True,impaired_or_unspecified,clinical_diagnosis,True,False
2026_discoverydriven_plasma_proteomics_identifies_a_multiprotein_signature_for.pdf,fulltext,0.72,31.0,939.0,True,True,True,True,True,False,False,False,False,False,False,False,True,mixed,amyloid_status,True,False
10.3390/medicina62030605,abstract,0.86,407.0,453.0,False,False,False,True,False,False,False,False,False,False,False,False,True,impaired_or_unspecified,clinical_diagnosis,True,False
10.1016/j.scib.2026.08.018,abstract,0.899,9.0,40.0,True,True,True,True,False,False,False,False,False,False,False,False,False,mixed,amyloid_status,False,False
10.1038/s44220-025-00460-0,abstract,0.84,6.0,412.0,False,True,False,False,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,unspecified,False,False
10.1002/alz.71420,abstract,0.955,15.0,28.0,False,True,False,True,False,False,False,True,False,False,False,False,False,impaired_or_unspecified,clinical_diagnosis,True,False
10.1038/s43587-025-00872-8,abstract,0.88,416.0,485.0,False,False,False,True,False,True,False,False,False,False,False,False,False,impaired_or_unspecified,clinical_diagnosis,True,False
10.1002/alz.70505,abstract,0.94,36.0,750.0,True,True,False,True,False,True,False,False,False,False,False,False,False,mixed,clinical_diagnosis,True,False
