k,perm_mean,perm_sd,perm_q95,perm_q975,observed_auc,p_perm
1,0.49063271604938274,0.11866369421010882,0.6975308641975309,0.738425925925926,0.517361111111111,0.39303482587064675
2,0.48641975308641977,0.12149867831920876,0.7038580246913579,0.7500771604938272,0.566820987654321,0.24875621890547264
3,0.4921141975308643,0.12207086146284088,0.6976851851851851,0.7288580246913582,0.5760802469135804,0.24875621890547264
5,0.4934104938271605,0.1287989291369603,0.7037037037037037,0.7408179012345679,0.6183641975308642,0.20398009950248755
10,0.48638888888888887,0.12314200438660272,0.7069444444444444,0.7469135802469136,0.6424382716049383,0.10945273631840796
20,0.47967592592592595,0.11510387991361337,0.6760802469135802,0.7101851851851853,0.6498456790123457,0.08955223880597014
50,0.485,0.11733334252423488,0.6760802469135802,0.7227623456790124,0.6245370370370369,0.13432835820895522
100,0.4833950617283951,0.11688596719395362,0.6666666666666666,0.7319444444444446,0.6146604938271605,0.12437810945273632
300,0.482283950617284,0.12357198856406013,0.6976851851851851,0.7225308641975309,0.6214506172839506,0.14427860696517414
1305,0.4815277777777778,0.12748502844454787,0.7010802469135801,0.7346450617283952,0.6381172839506173,0.13930348258706468
