k,perm_mean,perm_sd,perm_q95,perm_q975,observed_auc,p_perm
1,0.5050476190476191,0.11133041746635056,0.6957142857142855,0.7382936507936508,0.49103174603174604,0.5124378109452736
2,0.5077380952380952,0.11328069453075411,0.6990476190476188,0.7667063492063493,0.5199206349206349,0.42786069651741293
3,0.5032936507936507,0.11168574133642173,0.6988888888888887,0.7271428571428572,0.5365873015873015,0.3781094527363184
5,0.5035396825396825,0.11074458513133431,0.6892857142857142,0.7209126984126984,0.5757142857142856,0.263681592039801
10,0.5078730158730158,0.10969607273813947,0.6952380952380952,0.7196825396825398,0.6264285714285713,0.14427860696517414
20,0.5061190476190476,0.10981864286118952,0.6876190476190475,0.7302380952380952,0.6482539682539681,0.07960199004975124
50,0.500436507936508,0.11060928135237101,0.6842063492063492,0.7079761904761905,0.6599206349206349,0.07960199004975124
100,0.4914047619047619,0.10870132375054649,0.6731746031746032,0.6939285714285715,0.662142857142857,0.07960199004975124
300,0.49200000000000005,0.1065187587661178,0.6830952380952379,0.7114285714285715,0.6746031746031746,0.06965174129353234
1305,0.4970238095238095,0.10898418220080557,0.6922222222222222,0.7208730158730159,0.7250793650793652,0.029850746268656716
