protein,n_selected_top10,selection_frequency
CD33,73,0.73
DYRK3,73,0.73
ICAM2,72,0.72
FGF20,53,0.53
H2AFZ,51,0.51
EFNA2,50,0.5
SOD1,46,0.46
DKK3,34,0.34
PDPK1,29,0.29
JAM2,29,0.29
PTHLH,28,0.28
PLK1,27,0.27
TEK,24,0.24
S100A9,19,0.19
PGAM1,19,0.19
SAA1,19,0.19
SERPINA7,18,0.18
BCL2,16,0.16
HGF,14,0.14
TNFRSF19,13,0.13
OLR1,11,0.11
MICA,11,0.11
HIST2H2BE,11,0.11
NTF3,10,0.1
ENTPD5,10,0.1
KIR2DL4,10,0.1
SEMA3A,9,0.09
BMPR1A,9,0.09
GPD1,9,0.09
PRKCG,8,0.08
MMEL1,7,0.07
RPS27A,6,0.06
DDR1,5,0.05
TNFRSF1A,5,0.05
FSTL1,5,0.05
PDGFA,5,0.05
TNFAIP6,5,0.05
CCL18,5,0.05
EPHB4,4,0.04
CFH,4,0.04
NLGN4X,4,0.04
PCNA,4,0.04
C6,4,0.04
ITGB5,4,0.04
BID,3,0.03
CXCL13,3,0.03
CRK,3,0.03
HHLA2,3,0.03
TNFSF15,3,0.03
SPINT2,3,0.03
SMOC1,3,0.03
MASP1,3,0.03
MAPK8,3,0.03
HK2,3,0.03
PTPN1,3,0.03
KLK11,3,0.03
FCER2,3,0.03
CTGF,2,0.02
NRG1,2,0.02
LGALS4,2,0.02
NACA,2,0.02
CDH3,2,0.02
CD55,2,0.02
CASP3,2,0.02
BMP7,2,0.02
NAMPT,2,0.02
CMPK1,2,0.02
MIA,2,0.02
ANP32B,2,0.02
TNFRSF8,2,0.02
PTEN,2,0.02
NME2,2,0.02
RAN,2,0.02
BIRC7,2,0.02
ADAM9,2,0.02
YWHAQ,2,0.02
GPC5,2,0.02
PRTN3,2,0.02
LRRTM3,1,0.01
RPS3A,1,0.01
FLRT3,1,0.01
COLEC12,1,0.01
TNFRSF13B,1,0.01
TNFSF12,1,0.01
POR,1,0.01
STK16,1,0.01
IGF1R,1,0.01
SLITRK5,1,0.01
ARG1,1,0.01
SERPINA3,1,0.01
POSTN,1,0.01
VEGFA.1,1,0.01
CSNK2B,1,0.01
CDH6,1,0.01
PDE1A,1,0.01
HP,1,0.01
RPS27A.1,1,0.01
CYCS,1,0.01
DUSP3,1,0.01
PLA2G2E,1,0.01
SLAMF6,1,0.01
FTH1,1,0.01
FAP,1,0.01
Human-virus.3,1,0.01
SLAMF7,1,0.01
RB1,1,0.01
WNK3,1,0.01
BAD,1,0.01
CTSA,1,0.01
LYVE1,1,0.01
IL3RA,1,0.01
CCDC80,1,0.01
ACVR1B,1,0.01
LRRK2,1,0.01
SIGLEC6,1,0.01
FLRT1,1,0.01
OMD,1,0.01
CGA.1,1,0.01
CD200R1,1,0.01
ADGRG5,1,0.01
HNRNPK,1,0.01
SFN,1,0.01
IGF2R,1,0.01
IL1RL2,1,0.01
MMP1,1,0.01
