protein,n_selected_top10,selection_frequency
CDH3,81,0.81
H2AFZ,76,0.76
EFNA2,74,0.74
DKK3,64,0.64
ICAM2,52,0.52
CFH,37,0.37
OMD,36,0.36
CD33,36,0.36
SMOC1,34,0.34
FGF20,33,0.33
OLR1,27,0.27
YWHAQ,25,0.25
PLK1,25,0.25
S100A9,21,0.21
CDH5,19,0.19
RPS27A,14,0.14
TNFRSF13B,13,0.13
JAM2,13,0.13
HIST2H2BE,12,0.12
SAA1,12,0.12
TNFRSF1A,12,0.12
PLAT,12,0.12
PRKCZ,12,0.12
AK1,11,0.11
SERPINA7,11,0.11
ENTPD5,11,0.11
FSTL1,10,0.1
TNFRSF19,9,0.09
IL27RA,7,0.07
PRKCG,7,0.07
TNFRSF21,7,0.07
SERPINA5,7,0.07
BMPR1A,7,0.07
DYRK3,7,0.07
STK16,6,0.06
NLGN4X,6,0.06
TNFRSF8,5,0.05
IGF2R,5,0.05
PDPK1,5,0.05
RPS3A,5,0.05
CAMK1,5,0.05
SPINT2,4,0.04
HNRNPK,4,0.04
GFRA3,4,0.04
SOD1,4,0.04
IBSP,4,0.04
RAN,4,0.04
HK2,4,0.04
KIR2DL4,4,0.04
PTHLH,3,0.03
MIA,3,0.03
CMPK1,3,0.03
MMEL1,3,0.03
SLC25A18,3,0.03
TNFSF12,3,0.03
KYNU,3,0.03
ESM1,3,0.03
HNRNPA2B1,3,0.03
HGF,2,0.02
POR,2,0.02
RB1,2,0.02
PTPN1,2,0.02
PRSS2,2,0.02
ITGB5,2,0.02
GRN,2,0.02
CCL18,2,0.02
EFNB1,2,0.02
BCL2,2,0.02
NOTCH1,2,0.02
SERPINA3.1,2,0.02
KIT,2,0.02
KIF23,2,0.02
MMP9,2,0.02
TNC,2,0.02
PDE1A,2,0.02
HK1,2,0.02
PLXNB2,2,0.02
FCER2,2,0.02
UBB,1,0.01
CA1,1,0.01
BMP7,1,0.01
GP1BA,1,0.01
CXCL3,1,0.01
SERPINC1,1,0.01
SEMA3A,1,0.01
DKK1,1,0.01
SERPINA4,1,0.01
SOD2,1,0.01
BMPR2,1,0.01
IL13RA1,1,0.01
HMGN1,1,0.01
LGALS4,1,0.01
MED1,1,0.01
ADGRG5,1,0.01
RARRES2,1,0.01
DUSP3,1,0.01
NTF3,1,0.01
CCL17,1,0.01
PLA2G2E,1,0.01
WNK3,1,0.01
SUMO3,1,0.01
RPS27A.1,1,0.01
CA9,1,0.01
ELANE,1,0.01
EPHB2,1,0.01
SFN,1,0.01
SPARCL1,1,0.01
SERPINE2,1,0.01
